age,home_owner,income,current_address_year,personal_account_m,personal_account_y,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,risk_score_4,risk_score_5,ext_quality_score,ext_quality_score_2,inquiries_last_month,e_signed,total_employment_years,income_to_loan_ratio,composite_risk_score,pay_bi-weekly,pay_monthly,pay_semi-monthly,pay_weekly
40,1,3135,3,6,2,1,550,36200,0.737398319,0.903517238,0.4877125,0.515976695,0.580918,0.380918,10,1,3.0,5.7,0.6611511880000001,True,False,False,False
33,0,3590,2,2,8,1,1100,53850,0.617361345,0.857559706,0.613486719,0.665523488,0.744634,0.744634,12,0,5.0,3.2636363636363637,0.6884828144999999,False,False,True,False
21,0,2303,8,2,7,1,600,74850,0.677109244,0.758765039,0.495609375,0.664761939,0.592556,0.492556,6,1,5.0,3.8383333333333334,0.64906139925,False,False,False,True
26,0,2795,4,1,6,1,800,50800,0.738054622,0.873204345,0.666436719,0.700392155,0.58413,0.68413,14,1,4.0,3.49375,0.74452196025,True,False,False,False
43,0,5000,1,1,2,1,1100,69100,0.798303361,0.841746723,0.401971094,0.568787109,0.525905,0.725905,5,1,2.0,4.545454545454546,0.65270207175,True,False,False,False
51,1,3055,11,4,2,1,600,59750,0.624665546,0.968564823,0.50991875,0.749624146,0.758607,0.758607,5,1,6.0,5.091666666666667,0.71319331625,True,False,False,False
34,0,3877,2,2,7,1,800,55550,0.802788235,0.900083049,0.746076563,0.79131937,0.807174,0.507174,10,1,5.5,4.84625,0.81006680425,False,False,False,True
56,0,3555,8,6,2,1,900,64500,0.640915126,0.869770156,0.699680469,0.706527329,0.752686,0.452686,10,1,8.0,3.95,0.72922327,True,False,False,False
24,0,2135,3,3,2,1,1000,63000,0.549034454,0.739686209,0.484734375,0.558979388,0.454199,0.454199,8,1,1.4166666666666667,2.135,0.5831086065,True,False,False,False
50,0,3700,6,2,1,1,500,2800,0.467041176,0.809312713,0.624903906,0.621840535,0.462823,0.462823,16,1,2.0,7.4,0.6307745825,True,False,False,False
61,0,6110,5,2,4,0,900,76350,0.739293277,0.958587718,0.717289063,0.816048315,0.495346,0.495346,2,1,6.0,6.788888888888889,0.80780459325,True,False,False,False
29,0,1515,0,5,2,1,400,56600,0.744604202,0.852992009,0.340332813,0.533660885,0.374144,0.374144,6,0,1.5,3.7875,0.61789747725,True,False,False,False
58,1,3675,10,2,0,1,400,29150,0.691880672,0.833958071,0.765911719,0.754194294,0.824777,0.624777,9,1,10.0,9.1875,0.761486189,False,False,False,True
36,0,1520,5,9,4,1,900,35600,0.647352941,0.879915604,0.5753625,0.613068177,0.716315,0.616315,9,1,3.75,1.6888888888888889,0.6789248055,True,False,False,False
42,0,4780,1,6,3,1,400,35400,0.539069748,0.867716376,0.302844531,0.506524933,0.61838,0.61838,8,1,1.8333333333333335,11.95,0.554038897,False,False,True,False
62,0,3240,6,3,6,1,1200,68650,0.720442017,0.812713234,0.647686719,0.733741147,0.446364,0.446364,4,0,6.083333333333333,2.7,0.72864577925,True,False,False,False
40,0,3105,4,5,4,1,600,53800,0.646738655,0.896716197,0.598545313,0.685838016,0.532947,0.632947,2,1,3.3333333333333335,5.175,0.7069595452499999,True,False,False,False
35,1,5220,5,8,3,1,900,62350,0.669209244,0.881060334,0.504127344,0.648169588,0.535607,0.735607,6,0,5.083333333333333,5.8,0.6756416275,False,False,False,True
66,0,3625,4,1,2,0,1050,61000,0.531936134,0.909195996,0.34643125,0.597690026,0.449328,0.549328,15,1,6.0,3.4523809523809526,0.5963133515,False,True,False,False
37,1,4499,8,2,4,0,700,63500,0.715705042,0.825035913,0.496419531,0.646906614,0.734796,0.434796,4,1,5.0,6.427142857142857,0.671016775,True,False,False,False
31,0,2740,1,2,3,1,500,67350,0.676912605,0.762098222,0.42185,0.543713329,0.48102,0.48102,9,1,1.0,5.48,0.601143539,True,False,False,False
48,0,3635,2,2,4,1,900,48350,0.646337815,0.808179206,0.559528906,0.755585618,0.444159,0.644159,3,0,3.0,4.038888888888889,0.69240788625,True,False,False,False
53,0,1735,2,1,2,1,600,58350,0.624943697,0.854215299,0.578204688,0.754923327,0.505423,0.605423,6,1,4.0,2.8916666666666666,0.7030717527500001,False,True,False,False
50,0,3165,2,2,2,1,700,87550,0.636430252,0.855315137,0.652360938,0.822393984,0.808443,0.508443,7,0,2.0,4.521428571428571,0.7416250777500001,True,False,False,False
46,1,3005,10,1,5,1,700,54100,0.585051261,0.925996588,0.519169531,0.78235962,0.568509,0.468509,4,0,3.0,4.292857142857143,0.70314425,False,False,False,True
24,0,1580,3,5,3,1,1100,68000,0.689933613,0.866616538,0.539551562,0.556243802,0.499055,0.699055,7,0,6.166666666666667,1.4363636363636363,0.6630863787500001,True,False,False,False
49,0,1875,0,3,3,1,350,68200,0.753667227,0.929251212,0.645728125,0.896080248,0.726708,0.726708,5,0,0.0,5.357142857142857,0.806181703,True,False,False,False
23,0,2265,1,3,7,1,400,67350,0.778822689,0.894639971,0.513208594,0.784878721,0.447938,0.447938,4,1,2.1666666666666665,5.6625,0.7428874937500001,True,False,False,False
33,0,2000,0,2,3,1,500,38300,0.752766387,0.905862812,0.659036719,0.741448192,0.782007,0.882007,8,0,2.0,4.0,0.7647785275,False,False,True,False
44,0,1730,4,1,3,1,600,47550,0.680268067,0.874292961,0.739351562,0.674746785,0.453141,0.753141,5,1,6.0,2.8833333333333333,0.7421648437499999,False,False,False,True
33,1,2645,1,2,3,1,700,78550,0.685623529,0.975399533,0.792141406,0.992600142,0.747655,0.647655,7,1,3.0,3.7785714285714285,0.8614411525,False,False,False,True
62,0,2455,5,5,3,1,700,90150,0.803556303,0.97653304,0.799046094,0.912816353,0.820434,0.920434,4,1,5.666666666666667,3.507142857142857,0.8729879475,True,False,False,False
27,0,2270,2,3,3,1,1350,76050,0.786026891,0.838368648,0.572432031,0.706672793,0.775379,0.575379,9,1,2.0,1.6814814814814816,0.72587509075,True,False,False,False
41,0,1760,5,6,3,1,600,41450,0.586263025,0.884539415,0.32745,0.582222884,0.690358,0.690358,8,0,0.4166666666666667,2.933333333333333,0.595118831,True,False,False,False
58,1,5185,8,3,3,1,900,61950,0.709681513,0.9316529,0.595639063,0.907251057,0.623103,0.723103,6,0,3.25,5.761111111111111,0.78605613325,True,False,False,False
55,1,3265,8,3,3,1,700,46850,0.623710924,0.874281738,0.4672875,0.495925714,0.548545,0.548545,6,1,6.0,4.664285714285715,0.615301469,True,False,False,False
41,1,2765,7,6,1,1,600,41850,0.633981513,0.959575328,0.784714063,0.852513667,0.571946,0.571946,7,1,2.0,4.608333333333333,0.80769614275,False,False,False,True
64,1,6745,2,7,4,1,600,50250,0.681121849,0.858704435,0.614124219,0.819059427,0.751827,0.751827,10,0,6.0,11.241666666666667,0.7432524825,False,True,False,False
46,0,4548,3,2,4,1,2000,72400,0.598292437,0.900184055,0.617605469,0.753998345,0.591933,0.391933,23,1,3.0,2.274,0.7175200764999999,True,False,False,False
51,1,1890,4,1,8,1,800,90000,0.707617647,0.953021189,0.80895625,0.950111708,0.71801,0.91801,6,0,1.4166666666666667,2.3625,0.8549266985,True,False,False,False
19,1,3775,2,1,2,1,500,53650,0.637627731,0.73079772,0.657499219,0.655344404,0.448106,0.548106,6,1,1.0,7.55,0.6703172685000001,True,False,False,False
48,0,4635,9,3,2,1,1200,61900,0.768841176,0.980909948,0.627789063,0.757727367,0.582855,0.782855,7,1,7.0,3.8625,0.7838168885000001,False,False,True,False
35,0,5260,7,6,2,1,700,71650,0.762060504,0.80467768,0.642172656,0.785765198,0.517257,0.517257,8,0,2.0,7.514285714285714,0.7486690095,False,False,False,True
37,0,3595,5,2,8,1,1100,70600,0.786142017,0.90135123,0.71635,0.871608862,0.755791,0.755791,4,1,2.0,3.268181818181818,0.81886302725,False,False,False,True
24,0,2035,6,11,9,1,500,54100,0.693977311,0.956354372,0.650723438,0.972201757,0.581596,0.881596,10,0,6.25,4.07,0.8183142195,False,False,False,True
46,0,3035,6,3,3,1,500,56550,0.663416807,0.887782816,0.363150781,0.69716798,0.612984,0.512984,6,1,5.0,6.07,0.652879596,False,False,False,True
40,1,3780,11,0,0,1,800,52850,0.71177563,0.879904381,0.430792969,0.774488286,0.746014,0.646014,6,1,6.0,4.725,0.6992403165,False,True,False,False
34,0,1520,2,1,3,0,450,44600,0.846243697,0.890139612,0.63191875,0.712851607,0.623151,0.723151,2,1,6.0,3.3777777777777778,0.7702884165,False,False,False,True
62,1,6770,1,1,3,1,700,86200,0.662089916,0.863182349,0.6372875,0.796271149,0.809772,0.809772,7,1,3.0833333333333335,9.67142857142857,0.7397077285,False,False,False,True
41,0,1560,2,5,2,1,800,60900,0.543066387,0.849726163,0.608121875,0.76117145,0.584818,0.684818,4,1,3.0,1.95,0.69052146875,True,False,False,False
57,1,2620,10,1,4,0,400,52700,0.634643697,0.860836775,0.556751563,0.589693763,0.570931,0.570931,11,0,1.0,6.55,0.6604814495000001,True,False,False,False
33,1,6560,2,5,2,1,400,30450,0.731880672,0.932775184,0.492735938,0.818069414,0.556111,0.656111,12,1,3.0,16.4,0.743865302,True,False,False,False
19,0,3390,1,1,3,0,600,42550,0.493293277,0.858625875,0.344771875,0.579836412,0.756457,0.656457,12,0,2.75,5.65,0.56913185975,False,True,False,False
41,0,6120,8,2,10,1,900,59700,0.863376471,0.839648052,0.657094531,0.827694877,0.588167,0.688167,6,0,2.0,6.8,0.79695348275,True,False,False,False
42,1,3325,3,3,2,1,800,68250,0.764839496,0.897917041,0.558355469,0.766252435,0.425807,0.525807,5,1,3.4166666666666665,4.15625,0.7468411102499999,True,False,False,False
41,0,5185,3,3,8,1,1100,47900,0.715057983,0.947420991,0.6886875,0.796669037,0.578785,0.678785,10,0,3.0833333333333335,4.713636363636364,0.78695887775,True,False,False,False
25,1,4565,0,2,3,1,900,77050,0.774666387,0.808156761,0.466794531,0.631940041,0.552686,0.552686,5,0,3.0,5.072222222222222,0.6703894300000001,True,False,False,False
32,0,2640,0,5,2,1,1000,59600,0.735910084,0.869938499,0.494903906,0.736627331,0.702679,0.702679,8,1,0.4166666666666667,2.64,0.7093449549999999,True,False,False,False
